ingredient_key,item,category,amount_per_drink,amount_unit,comment,supplier_name,product_name,pack_amount,pack_unit,pack_price_rub,pack_amount_base,pack_base_unit,amount_per_drink_base,recipe_base_unit,unit_price_rub,cost_per_drink_rub,drinks_per_pack,monthly_amount,packs_needed,monthly_cost_rub,packs_to_buy,monthly_purchase_cost_rub
strawberry_puree,Пюре клубники,Фруктовая база,40.0,ml,Фреш-пюре или замороженное; самый популярный вкус PIMS,FoodLine,Пюре клубники замороженное 1кг,1000,ml,480,1000,ml,40.0,ml,0.48,19.2,25.0,144000.0,144.0,69120.0,144,69120
mango_puree,Пюре манго,Фруктовая база,40.0,ml,Тропический вариант; часто с кокосом,FoodLine,Пюре манго замороженное 1кг,1000,ml,520,1000,ml,40.0,ml,0.52,20.8,25.0,144000.0,144.0,74880.0,144,74880
passion_fruit,Пюре маракуйи,Фруктовая база,30.0,ml,Яркий кислый акцент в тропических напитках,FoodLine,Пюре маракуйи замороженное 1кг,1000,ml,650,1000,ml,30.0,ml,0.65,19.5,33.333333333333336,108000.0,108.0,70200.0,108,70200
lemon_juice,Лимонный сок,Фруктовая база,15.0,ml,Кислотный балансир в фруктовых вариантах,Metro,Лимонный сок 1л,1000,ml,180,1000,ml,15.0,ml,0.18,2.6999999999999997,66.66666666666667,54000.0,54.0,9720.0,54,9720
syrup_vanilla,Ванильный сироп,Сироп,20.0,ml,Классический подсластитель,ShopBubbleTea,Сироп Ваниль 1л,1000,ml,650,1000,ml,20.0,ml,0.65,13.0,50.0,72000.0,72.0,46800.0,72,46800
syrup_lychee,Сироп личи,Сироп,20.0,ml,Популярный азиатский вкус,ShopBubbleTea,Сироп Личи 1л,1000,ml,650,1000,ml,20.0,ml,0.65,13.0,50.0,72000.0,72.0,46800.0,72,46800
syrup_brown_sugar,Сироп коричневого сахара,Сироп,25.0,ml,Тайгер-сахарный вариант бабл-ти,KiFood,"Сироп Коричневый сахар 2,5кг",2500,ml,1200,2500,ml,25.0,ml,0.48,12.0,100.0,90000.0,36.0,43200.0,36,43200
ice,Лёд,Прочее,150.0,g,Дроблёный или кубиком; обязательный компонент холодного напитка,Metro,Лёд пищевой 5кг,5000,g,250,5000,g,150.0,g,0.05,7.5,33.333333333333336,540000.0,108.0,27000.0,108,27000
cup,Стакан 500 мл,Упаковка,1.0,pcs,Одноразовый ПЭТ/PP стакан,ShopBubbleTea,Стакан мягкий пластиковый прозрачный без рисунка 500 мл,1,pcs,5,1,pcs,1.0,pcs,5.0,5.0,1.0,3600.0,3600.0,18000.0,3600,18000
lid,Крышка купольная,Упаковка,1.0,pcs,Купольная крышка под трубочку,ShopBubbleTea,Купольная крышка под плотные стаканы 500 мл. и 650 мл.,1,pcs,5,1,pcs,1.0,pcs,5.0,5.0,1.0,3600.0,3600.0,18000.0,3600,18000
straw,Трубочка широкая,Упаковка,1.0,pcs,Широкая трубочка для тапиоки (10–12 мм),ShopBubbleTea,Трубочка чёрная 210x11 мм. с заостренным окончанием,1,pcs,3,1,pcs,1.0,pcs,3.0,3.0,1.0,3600.0,3600.0,10800.0,3600,10800
seal_film,Запайочная плёнка,Упаковка,1.0,pcs,Термо-запайка вместо крышки (опционально),Market,Запайочная плёнка для стаканов,1000,pcs,1800,1000,pcs,1.0,pcs,1.8,1.8,1000.0,3600.0,3.6,6480.0,4,7200
